,idx,question,answer
0,16069.0,Providing information on Construction Planning under the authority of the Provincial People's Committee,Construction planning |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069
165,15813.0,Apply for a license to circulate oversized vehicles on the road,"Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
166,15813.0,Apply for a license to circulate tracked vehicles on the road,"Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
167,15813.0,Apply for a license to operate vehicles transporting oversized and oversized goods on the road,"Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
168,15813.0,Application for a license to operate overweight vehicles on the road,"Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
169,15813.0,Application for a license to circulate oversized vehicles limited on roads,"Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
170,15813.0,Application for a license to circulate tracked vehicles on roads,"Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
171,15813.0,Documents for licensing the circulation of vehicles transporting oversized and oversized goods on the road,"Issue licenses to circulate overweight vehicles, oversized vehicles, and crawler vehicles on roads |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15813"
172,19500.0,Issuing construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation.,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
173,19500.0,Issuing construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation.,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
174,19500.0,Apply for a construction permit for essential works within the scope of protecting road traffic infrastructure,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
175,19500.0,Apply for a construction permit for essential works within the scope of protecting road traffic infrastructure,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
176,19500.0,Procedures for granting construction permits for essential works within the scope of protecting road traffic infrastructure,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
177,19500.0,Procedures for granting construction permits for essential works within the scope of protecting road traffic infrastructure,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
178,19500.0,How to issue construction permits for essential works within the scope of protecting road traffic infrastructure,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
179,19500.0,How to issue construction permits for essential works within the scope of protecting road traffic infrastructure,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
180,19500.0,Documents for issuance of construction permits for essential works within the scope of protection of road traffic infrastructure,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
181,19500.0,Documents for issuance of construction permits for essential works within the scope of protection of road traffic infrastructure,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
184,19500.0,Issuing construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation.,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
185,19500.0,Issuing construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation.,Granting construction permits for essential works within the protection scope of road traffic infrastructure of national highways and expressways currently in operation. |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19500
192,17956.0,Approval of construction at the same time as issuance of construction permit for essential works within the protection scope of road traffic infrastructure of national highways and expressways under the management of the Ministry Transportation,Apply for construction approval at the same time as granting essential construction permits |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17956
193,17956.0,Apply for construction approval at the same time as issuance of construction permit,Apply for construction approval at the same time as granting essential construction permits |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17956
194,17956.0,Approval of construction at the same time as issuance of construction permit for essential works,Apply for construction approval at the same time as granting essential construction permits |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17956
195,17956.0,How to approve construction at the same time as granting construction permit,Apply for construction approval at the same time as granting essential construction permits |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17956
196,17956.0,Construction approval procedures are at the same time as construction permit issuance,Apply for construction approval at the same time as granting essential construction permits |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17956
197,15817.0,"Approve the technical design, traffic organization plan of the intersection, conditions to ensure traffic order and safety for the connection point to provincial roads and authorized national highways",Approve the technical design to ensure traffic order and safety for the connection point to the provincial road and authorized national highway |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15817
198,15817.0,Please approve the technical design and traffic organization plan of the intersection,Approve the technical design to ensure traffic order and safety for the connection point to the provincial road and authorized national highway |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15817
199,15817.0,Please approve the conditions to ensure traffic order and safety for the connection point to the provincial road and the authorized national highway,Approve the technical design to ensure traffic order and safety for the connection point to the provincial road and authorized national highway |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15817
200,15817.0,Procedures for approval of technical design and traffic organization plan of the intersection,Approve the technical design to ensure traffic order and safety for the connection point to the provincial road and authorized national highway |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15817
201,15817.0,Procedures for approving conditions to ensure traffic order and safety for connection points to provincial roads and authorized national highways,Approve the technical design to ensure traffic order and safety for the connection point to the provincial road and authorized national highway |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15817
211,14300.0,Register to operate the route,Register to operate the route |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14300
212,14300.0,Please use the route,Register to operate the route |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14300
213,14300.0,Procedures for registration of route operation,Register to operate the route |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14300
214,14300.0,Steps to register for route operation,Register to operate the route |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14300
215,14300.0,Application for registration of route operation,Register to operate the route |receiver_place: Provincial public administration center |time_process: 7 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14300
216,15808.0,Register specialized motorbikes transferred from other provinces or centrally run cities,"Register specialized motorbikes transferred from other provinces or centrally run cities |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15808"
217,15808.0,Please register a specialized motorbike to move to another area,"Register specialized motorbikes transferred from other provinces or centrally run cities |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15808"
218,15808.0,Application for registration of specialized motorbikes transferred to another region,"Register specialized motorbikes transferred from other provinces or centrally run cities |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15808"
219,15808.0,Steps to register a specialized motorbike transferred to another region,"Register specialized motorbikes transferred from other provinces or centrally run cities |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15808"
220,15808.0,How to register a specialized motorbike to move to another area,"Register specialized motorbikes transferred from other provinces or centrally run cities |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15808"
221,15709.0,Procedures for issuing tourist transport vehicle signs,issue signs for tourist transport vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15709
222,15709.0,Please issue a sign for a means of transport for tourists,issue signs for tourist transport vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15709
223,15709.0,Steps to issue signs for tourist transport vehicles,issue signs for tourist transport vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15709
224,15709.0,How to issue tourist transport vehicle signs,issue signs for tourist transport vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15709
225,15709.0,Making teeth to issue signs for tourist transport vehicles,issue signs for tourist transport vehicles |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15709
226,17535.0,Change your driving license issued by the Police,"To change driver's license |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17535"
227,17535.0,Application for changing driver's license,"To change driver's license |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17535"
228,17535.0,Procedures for changing driver's licenses,"To change driver's license |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17535"
229,17535.0,How to change driver's license,"To change driver's license |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17535"
230,17535.0,Dental surgery to change driver's license,"To change driver's license |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17535"
231,15717.0,Change your driver's license or driver's license issued by a foreign country,"change driver's license issued by foreign country |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15717"
232,15717.0,Apply for a foreign driver's license,"change driver's license issued by foreign country |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15717"
233,15717.0,Please change your foreign driver's license,"change driver's license issued by foreign country |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15717"
234,15717.0,Procedures for exchanging foreign driving licenses,"change driver's license issued by foreign country |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15717"
235,15717.0,Procedures for exchanging a foreign driver's license,"change driver's license issued by foreign country |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15717"
236,19177.0,Change your Driver's License issued by the Transport sector,"Change your driving license issued by the Transport sector |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19177"
237,19177.0,Please change your driving license issued by the Transport sector,"Change your driving license issued by the Transport sector |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19177"
238,19177.0,Application for Changing Driver's License issued by the Transport sector,"Change your driving license issued by the Transport sector |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19177"
239,19177.0,Procedures for Changing Driver's License issued by the Transport sector,"Change your driving license issued by the Transport sector |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19177"
240,19177.0,Steps to change your Driver's License issued by the Transport sector,"Change your driving license issued by the Transport sector |receiver_place: Provincial public administration center |time_process: 5 days |cost: 135,000 VND/license |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19177"
241,19872.0,Re-issuance of Driver's License,Re-issuance of Driver's License |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19872
242,19872.0,Please re-issue your Driver's License,Re-issuance of Driver's License |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19872
243,19872.0,Application for Reissue of Driver's License,Re-issuance of Driver's License |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19872
244,19872.0,Procedures for Re-Issue of Driver's License,Re-issuance of Driver's License |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19872
245,19872.0,Steps to Reissue Driver's License,Re-issuance of Driver's License |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19872
254,17291.0,Approve the plan to ensure traffic safety,Approve the plan to ensure traffic safety |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17291
255,17291.0,Register for approval of the traffic safety plan,Approve the plan to ensure traffic safety |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17291
256,17291.0,Procedures for approval of traffic safety plans,Approve the plan to ensure traffic safety |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17291
257,17291.0,Application for approval of traffic safety plan,Approve the plan to ensure traffic safety |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17291
258,17291.0,Conditions for approval of traffic safety plan,Approve the plan to ensure traffic safety |receiver_place: Provincial public administration center |time_process: 5 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17291
259,14345.0,Notification of future housing that is eligible to be sold or leased to purchase,Notification of future housing that is eligible to be sold or leased to purchase |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14345
260,14345.0,Procedures for notifying future housing that is eligible for sale or lease-purchase,Notification of future housing that is eligible to be sold or leased to purchase |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14345
261,14345.0,Measures to notify that houses to be formed in the future are eligible for sale or lease-purchase,Notification of future housing that is eligible to be sold or leased to purchase |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14345
262,14345.0,How to notify that future housing is eligible to be sold or leased to purchase,Notification of future housing that is eligible to be sold or leased to purchase |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14345
263,14345.0,How to notify that houses formed in the future are eligible to be sold or leased to buy,Notification of future housing that is eligible to be sold or leased to purchase |receiver_place: Provincial public administration center |time_process: 15 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/14345
265,15812.0,Inspect the acceptance work and put the project into use.,Check the acceptance work and put the project into use |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15812
266,15812.0,Documents examining the acceptance of the project into use,Check the acceptance work and put the project into use |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15812
267,15812.0,Please check the acceptance of the project into use,Check the acceptance work and put the project into use |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15812
268,15812.0,Steps to check the acceptance of the project into use,Check the acceptance work and put the project into use |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15812
269,15812.0,Procedures for checking and accepting the project into use,Check the acceptance work and put the project into use |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15812
270,15820.0,Agreement to build a connection point with the road.,Agreement to build a connection point with the road |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15820
271,15820.0,Please agree to build a connection point with the road,Agreement to build a connection point with the road |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15820
272,15820.0,Documents of agreement to build connection points with roads,Agreement to build a connection point with the road |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15820
273,15820.0,Steps to agree on building a connection point with the road,Agreement to build a connection point with the road |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15820
274,15820.0,How to negotiate the construction of connection points with roads,Agreement to build a connection point with the road |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15820
287,19173.0,Reissue of driving license,reissue driving license |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19173
288,19173.0,Please re-issue your driving license,reissue driving license |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19173
289,19173.0,Application for re-issuance of driving practice vehicle license,reissue driving license |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19173
290,19173.0,Procedures for reissuing driving license,reissue driving license |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19173
291,19173.0,Steps to re-issue driving license,reissue driving license |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19173
292,17955.0,Reissue of Intermodal License between Vietnam and Laos,reissue the intermodal license between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17955
293,17955.0,Please re-issue the intermodal license between Vietnam and Laos,reissue the intermodal license between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17955
294,17955.0,Procedures for reissuing intermodal license between Vietnam and Laos,reissue the intermodal license between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17955
295,17955.0,How to re-issue the intermodal license between Vietnam and Laos,reissue the intermodal license between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17955
296,17955.0,Steps to re-issue intermodal license between Vietnam and Laos,reissue the intermodal license between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17955
297,17954.0,Granting intermodal license between Vietnam and Laos,granting intermodal licenses between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17954
298,17954.0,Apply for intermodal license between Vietnam and Laos,granting intermodal licenses between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17954
299,17954.0,Procedures for granting intermodal licenses between Vietnam and Laos,granting intermodal licenses between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17954
300,17954.0,How to issue intermodal license between Vietnam and Laos,granting intermodal licenses between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17954
301,17954.0,Steps to grant intermodal license between Vietnam and Laos,granting intermodal licenses between Vietnam and Laos |receiver_place: Provincial public administration center |time_process: 2 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17954
304,15809.0,Issue registration certificate and license plate for specialized motorbikes for the first time,"issuance of certificate of license plate registration for specialized motorbikes for the first time |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15809"
305,15809.0,Apply for a registration certificate and license plate for specialized motorbikes for the first time,"issuance of certificate of license plate registration for specialized motorbikes for the first time |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15809"
306,15809.0,Procedures for issuance of registration certificates and license plates for specialized motorbikes for the first time,"issuance of certificate of license plate registration for specialized motorbikes for the first time |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15809"
307,15809.0,How to issue a registration certificate and license plate for a specialized motorbike for the first time,"issuance of certificate of license plate registration for specialized motorbikes for the first time |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15809"
308,15809.0,Steps to issue registration certificate and license plate for specialized motorbikes for the first time,"issuance of certificate of license plate registration for specialized motorbikes for the first time |receiver_place: Provincial public administration center |time_process: 3 days |cost: 200,000 VND/time/vehicle |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15809"
311,19673.0,Issuance of Certificate of appraisal of renovated motor vehicle design,Issue a certificate of design appraisal for renovated motor vehicles |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19673
312,19673.0,Apply for a Certificate of appraisal of renovated motor vehicle design,Issue a certificate of design appraisal for renovated motor vehicles |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19673
313,19673.0,Dossier for issuance of Certificate of design appraisal of renovated motor vehicles,Issue a certificate of design appraisal for renovated motor vehicles |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19673
314,19673.0,Procedures for issuance of Certificate of design appraisal of renovated motor vehicles,Issue a certificate of design appraisal for renovated motor vehicles |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19673
315,19673.0,Steps to issue a Certificate of design appraisal for renovated motor vehicles,Issue a certificate of design appraisal for renovated motor vehicles |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19673
316,17225.0,Re-announcement of inland waterway port operations,"Know the re-announcement of inland waterway port operations |receiver_place: Provincial public administration center |time_process: 5 days |cost: 100,000 VND |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17225"
317,17225.0,Register to re-announce inland waterway port operations,"Know the re-announcement of inland waterway port operations |receiver_place: Provincial public administration center |time_process: 5 days |cost: 100,000 VND |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17225"
318,17225.0,Application for re-announcement of inland waterway port operations,"Know the re-announcement of inland waterway port operations |receiver_place: Provincial public administration center |time_process: 5 days |cost: 100,000 VND |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17225"
319,17225.0,Necessary conditions when re-announcing inland waterway wharf operations,"Know the re-announcement of inland waterway port operations |receiver_place: Provincial public administration center |time_process: 5 days |cost: 100,000 VND |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17225"
320,17225.0,Procedures for re-announcing inland waterway port operations,"Know the re-announcement of inland waterway port operations |receiver_place: Provincial public administration center |time_process: 5 days |cost: 100,000 VND |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17225"
