,idx,question,answer
0,17975.0,Issuing (re-issuing/ renewing/ extending) Class II surveying and mapping practice certificates,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
116,19408.0,"Application for replacement of Certificate of land use rights, ownership of housing and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19408"
117,19408.0,"Steps to apply for renewal of Certificate of land use rights, ownership of houses and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19408"
118,19408.0,"When will the Certificate of land use rights, ownership of houses and other assets attached to land be issued?","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19408"
119,19408.0,"Conditions for renewal of Certificate of land use rights, ownership of housing and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19408"
120,19408.0,"Dentistry to apply for a replacement Certificate of land use rights, ownership of houses and other assets attached to land","Procedures for renewing Certificates of land use rights, ownership of houses and other assets attached to land |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19408"
121,19409.0,Procedures for correction of issued Certificates,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19409
122,19409.0,Application for correction of issued Certificate,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19409
123,19409.0,How to correct the issued Certificate,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19409
124,19409.0,Conditions to be corrected Certificate issued,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19409
125,19409.0,Dental work to have the issued Certificate corrected,Procedures for correction of issued Certificates |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19409
126,19418.0,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19418
127,19418.0,The Authority has the right to re-issue the Certificate or re-issue additional pages of the Certificate due to loss,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19418
128,19418.0,When will the Certificate be reissued or the additional page of the Certificate reissued due to loss?,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19418
129,19418.0,Conditions for reissuing the Certificate or reissuing an additional page of the Certificate due to loss,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19418
130,19418.0,Application for re-issuance of Certificate or re-issue of additional page of Certificate due to loss,Procedures for reissuing the Certificate or reissuing an additional page of the Certificate due to loss |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19418
131,19736.0,Procedures for granting mineral exploration licenses,Procedures for granting mineral exploration licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19736
132,19736.0,Steps to issue a Mineral Exploration License,Procedures for granting mineral exploration licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19736
133,19736.0,Application for a Mineral Exploration License,Procedures for granting mineral exploration licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19736
134,19736.0,Conditions for granting a Mineral Exploration License,Procedures for granting mineral exploration licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19736
135,19736.0,Which agency has the right to issue mineral exploration licenses?,Procedures for granting mineral exploration licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19736
136,19736.0,How to get a Mineral Exploration License,Procedures for granting mineral exploration licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19736
137,12630.0,Payment of costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place: Provincial public administration center |time_process: 30 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/12630
138,12630.0,Information on payment of costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place: Provincial public administration center |time_process: 30 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/12630
139,12630.0,Expense payment process related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place: Provincial public administration center |time_process: 30 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/12630
140,12630.0,Regulations on payment of costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place: Provincial public administration center |time_process: 30 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/12630
141,12630.0,Steps to pay costs related to handling public assets,Payment of costs related to the disposal of public assets |receiver_place: Provincial public administration center |time_process: 30 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/12630
142,12630.0,Conditions for payment of costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place: Provincial public administration center |time_process: 30 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/12630
143,12630.0,How to pay costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place: Provincial public administration center |time_process: 30 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/12630
144,12630.0,Make payment of costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place: Provincial public administration center |time_process: 30 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/12630
145,19276.0,Payment of costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19276
146,19276.0,Procedures for payment of costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19276
147,19276.0,Measures to pay costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19276
148,19276.0,Method of payment of costs related to the disposal of public assets,Payment of costs related to the disposal of public assets |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19276
149,17781.0,Land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
150,17781.0,Remove guarantees of land use rights,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
151,17781.0,Abolish land use rights and assets attached to land.,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
183,19424.0,"Registering changes in land use rights and ownership of assets attached to land in cases of conversion, transfer, lease, sublease, inheritance, donation, capital contribution with land use rights or land use rights. own assets attached to land; transfer land use rights and ownership of assets attached to land of husband or wife into joint property of husband and wife; Increased area due to transfer, inheritance, or donation of land use rights that already have a Certificate","Registering changes in land use rights and ownership of assets attached to land in cases of conversion, transfer, lease, sublease, inheritance, donation, capital contribution with land use rights or land use rights. own assets attached to land; transfer land use rights and ownership of assets attached to land of husband or wife into joint property of husband and wife; Increased area due to transfer, inheritance, or donation of land use rights that already have a Certificate |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19424"
208,17771.0,Register to mortgage land use rights and assets attached to land,Register to mortgage land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17771
